source_row,name,city,state,country,type,should_write,written_raw,written_status,drew_one_raw,drew_status,wrote_thank_feb2020,website,instagram,twitter,existing_site_match,existing_site_id,existing_site_path,candidate_site_names
7637,Laht Neppur Brewing,Waitsburg,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7638,Crossbuck Brewing,Walla Walla,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7639,MT Head Brewing Co,Walla Walla,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7640,Water Buffalo Brewery,Walla Walla,WA,,Micro,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7641,Big House Brew Pub,Walla Walla,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7642,Burwood Brewing Company,Walla Walla,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7643,Quirk Brewing,Walla Walla,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7644,Doomsday Brewing Co.,Washougal,WA,,Micro,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7645,54-40 Brewing Company,Washougal,WA,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7646,Logsdon Farmhouse Ales,Washougal,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7647,Shoug  Brewing Company,Washougal,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7648,Columbia Valley Brewing,Wenatchee,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7649,Saddle Rock Pub & Brewery,Wenatchee,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7650,Wenatchee Valley Brewing Co.,Wenatchee,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7651,Badger Mountain Brewing,Wenatchee,WA,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7652,509 Bierwerks,Wenatchee,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7653,Blackbeard’s Brewing Company,Westport,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7654,Everybody’s Brewing Co,White Salmon,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7655,Old Schoolhouse Brewery,Winthrop,WA,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7656,Crucible Brewing - Woodinville Forge,Woodinville,WA,,Taproom,,2019-11-27T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7657,Bosk Brew Works,Woodinville,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7658,Brouwerij Les Deplorables,Woodinville,WA,,Micro,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7659,Laurelwood Public House and Brewery - NE,Woodinville,WA,,Proprietor,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7660,Locust Cider & Brewing Company,Woodinville,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7661,Metier Brewing Company,Woodinville,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7662,Triplehorn Brewing Co,Woodinville,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7663,Black Raven Brewing Co - Woodinville,Woodinville,WA,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7664,20 Corners Brewing LLC,Woodinville,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7665,Good Brewing Co.,Woodinville,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7666,Sumerian Brewing Company,Woodinville,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7667,Bale Breaker Brewing Company,Yakima,WA,,Regional,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7668,Berchman’s Brewing Company,Yakima,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7669,Redifer Brewing Co,Yakima,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7670,Yakima Craft Brewing Co,Yakima,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7671,Hop Nation Brewing Company,Yakima,WA,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7672,Valley Brewing Co,Yakima,WA,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,exact,valley-brewing-co,content/breweries/valley-brewing-co.md,
7673,Yakima Valley Hops,Yakima,WA,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7674,Single Hill Brewing Company,Yakima,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7675,Wandering Hop Brewery,Yakima,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7676,Nisqually Valley Brewing,Yelm,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7677,Ahnapee Brewery,Algoma,WI,,Micro,,2019-08-29T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7678,Modicum Brewing,Altoona,WI,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7679,Ombibulous Brewing Company,Altoona,WI,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7680,Amery Ale Works,Amery,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7681,Central Waters Brewing Co,Amherst,WI,,Regional,,2019-11-13T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,unmatched,,,
7682,Fox River Brewing Co and Restaurant,Appleton,WI,,Brewpub,,2019-11-13T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7683,Appleton Beer Factory,Appleton,WI,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7684,McFleshman’s Brewing Co,Appleton,WI,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7685,Stone Arch Brewpub Inc.,Appleton,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7686,South Shore Brewery,Ashland,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7687,Stoney Acres Farm,Athens,WI,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7688,Door County Brewing Co.,Baileys Harbor,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7689,Hacienda Beer Co,Baileys Harbor,WI,,Micro,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7690,Door County Brewing Co./ Hacienda Beer Co,Baileys Harbor,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7691,Al. Ringling Brewing Co.,Baraboo,WI,,Planning,,2019-08-29T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7692,Driftless Glen Distillery,Baraboo,WI,,,,2019-11-13T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7693,OOGA Brewing Company,Beaver Dam,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7694,Hop Garden Brewing,Belleville,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7695,G5 Brewing Company,BELOIT,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7696,Furthermore Beer,Black River Falls,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7697,Sand Creek Brewing Co,Black River Falls,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7698,Bloomer Brewing Co,Bloomer,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7699,Biloba Brewing,Brookfield,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7700,SteelTank Brewing Co.,Brownsville,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7701,Rebellion Brewing,Cedarburg,WI,,Brewpub,,2019-10-26T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7702,The Fermentorium,Cedarburg,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7703,Rowlands Calumet Brewery Co,Chilton,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7704,Rowlands Calumet Brewery Co (#2),Chilton,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7705,Jacob Leinenkugel Brewing Co,Chippewa Falls,WI,,Largge,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7706,Brewster Bros Brewing Co,Chippewa Falls,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7707,Sawmill Pizza and Brew Shed,Clear Lake,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7708,Mecan River Brewing Company,Coloma,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7709,Cercis Brewing Company,Columbus,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7710,MoonRidge Brewpub,Cornell,WI,,Brewpub,,2019-11-27T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7711,Cross Plains Brewery Inc.,Cross Plains,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7712,Valkyrie Brewing,Dallas,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7713,City Service Brewing,Darlington,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7714,Legends Brewhouse and Eatery (#2),de Pere,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7715,Steel Squared Brewing Company,de Pere,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7716,Delafield Brewhaus,Delafield,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7717,Water Street Brewery - Lake County,Delafield,WI,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7718,Tribute Brewing Co,Eagle River,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,exact,tribute-brewing-co,content/breweries/tribute-brewing-co.md,
7719,East Troy Brewery,East Troy,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7720,K Point Brewing,Eau Claire,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7721,Lazy Monk Brewing,Eau Claire,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7722,The Brewing Projekt,Eau Claire,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7723,Shipwrecked Restaurant and Brewery,Egg Harbor,WI,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7724,SwitchGear Brewing Co,Elkhart Lake,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7725,Great Dane Pub and Brewing Co - Fitchburg,Fitchburg,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7726,Fountain City Brewing Co / Monarch Public House,Fountain City,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7727,Milwaukee Premium Brewing Co,Glendale,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7728,Sprecher Brewing Co / Chameleon Brewing,Glendale,WI,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7729,Bavarian Bierhaus,Glendale,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7730,Water Street Brewery - Grafton,Grafton,WI,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7731,Sahale Ale Works,Grafton,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7732,Brickfield Brewing,Grantsburg,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7733,Copper State Brewing Co,Green Bay,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,yes,confirmed_yes,,,,,unmatched,,,
7734,Stillmank Brewing Company,Green Bay,WI,,Micro,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7735,Titletown Brewing Co,Green Bay,WI,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7736,Badger State Brewing Company,Green Bay,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7737,Hinterland Brewery,Green Bay,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7738,Noble Roots Brewing,Green Bay,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7739,The Explorium Brewpub,Greendale,WI,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7740,Melms Brewing Co,Hartland,WI,,Proprietor,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7741,"Angry Minnow, The",Hayward,WI,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7742,Hillsboro Brewing Company,Hillsboro,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7743,Pitchfork Brewing,Hudson,WI,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7744,Hop & Barrel Brewing Company LLC,Hudson,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7745,Gray Brewing Co,Janesville,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7746,Rock County Brewing Company,Janesville,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7747,Kenosha Brewing Company,Kenosha,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7748,Rustic Road Brewing Co,Kenosha,WI,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7749,R’Noggin Brewing,Kenosha,WI,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7750,Public Craft Brewing Co,Kenosha,WI,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7751,La Crosse Distilling Co,La Crosse,WI,,Brewpub,,2020-02-07T00:00:00,confirmed_date,yes,confirmed_yes,,,,,exact,la-crosse-distilling-co,content/breweries/la-crosse-distilling-co.md,
7752,City Brewing Co,La Crosse,WI,,Regional,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7753,Kul Brewing,La Crosse,WI,,Contract,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7754,Turtle Stack Brewery,La Crosse,WI,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7755,608 Brewing Company,La Crosse,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7756,Pearl Street Brewery,La Crosse,WI,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
