page_id,section,title,city,state,zip,type,written,drew_one,source_rows
breweries/abettor-brewing-company,breweries,Abettor Brewing Company,Winchester,KY,40391,Taproom,2019-08-29,Not recorded,2896
breweries/abide-brewing-company,breweries,Abide Brewing Company,Newnan,GA,30263,Micro,2019-08-29,Not recorded,2118
breweries/abita-brewing-co,breweries,Abita Brewing Co,Covington,LA,70433,Regional,2019-08-29,Not recorded,2904
breweries/abjuration-brewing,breweries,Abjuration Brewing,Mc Kees Rocks,PA,15136,Taproom,2019-08-29,Not recorded,6157
breweries/able-baker-brewing,breweries,Able Baker Brewing,Las Vegas,NV,89104,Brewpub,2019-08-29,Not recorded,4851
breweries/able-ebenezer-brewing-company,breweries,Able Ebenezer Brewing Company,Merrimack,NH,03054,Taproom,2019-08-29,Yes,4578
breweries/able-seedhouse-and-brewery,breweries,Able Seedhouse and Brewery,Minneapolis,MN,55413,Micro,2019-08-29,Yes,3778
breweries/abners-restaurant-inc-northern-michigan-beer,breweries,Abner’s Restaurant Inc / Northern Michigan Beer,Brohman,MI,49312,Brewpub,2019-08-29,Not recorded,3391
breweries/abnormal-beer-company,breweries,Abnormal Beer Company,San Diego,CA,92127,Micro,2019-08-29,Yes,812
breweries/abolitionist-ale-works,breweries,Abolitionist Ale Works,Charles Town,WV,25414,Brewpub,2019-08-29,Yes,7905
breweries/abridged-beer-company,breweries,Abridged Beer Company,Knoxville,TN,37919,Brewpub,2019-08-29,Not recorded,6527
breweries/absolution-brewing-co,breweries,Absolution Brewing Co,Torrance,CA,90503,Micro,2019-08-29,Not recorded,1082
breweries/acclamation-brewing,breweries,Acclamation Brewing,Verona,PA,15147,Planning,2019-08-29,Not recorded,6304
breweries/accomplice-beer-company,breweries,Accomplice Beer Company,Cheyenne,WY,82001,Brewpub,2019-08-29,Not recorded,7935
breweries/acidulous-brewing-company,breweries,Acidulous Brewing Company,Littleton,CO,80128,Contract,2019-08-29,Not recorded,1485
breweries/acopon-brewing-co,breweries,Acopon Brewing Co,Dripping Springs,TX,78620,Taproom,2019-08-29,Not recorded,6713
breweries/acorn-brewing,breweries,Acorn Brewing,edgewood,WA,98371,Brewpub,2019-08-29,Not recorded,7351
breweries/acrospire-brewing-llc,breweries,"Acrospire Brewing, LLC",Glenshaw,PA,15116,Planning,2019-08-29,Not recorded,6077
other-places/adam-robertson,other-places,Adam Robertson,Murfreesboro,TN,37129-1444,,2019-12-08,Not recorded,6555
breweries/adamant-brewing-and-blending,breweries,Adamant Brewing and Blending,Boulder,CO,80302,Micro,2019-08-29,Not recorded,1197
breweries/adams-northwest-bistro-twin-rivers-brewing,breweries,Adam’s Northwest Bistro / Twin Rivers Brewing,Monroe,WA,98272,Brewpub,2019-08-29,Not recorded,7415
breweries/adams-street-brewery,breweries,Adams Street Brewery,Chicago,IL,60603,Brewpub,2019-08-29,Not recorded,2359
breweries/adelberts-brewery-llc,breweries,Adelbert’s Brewery LLC,Austin,TX,78758,Micro,2019-08-29,Not recorded,6606
breweries/adirondack-pub-and-brewery,breweries,Adirondack Pub and Brewery,Lake George,NY,12845,Micro,2019-08-29,Not recorded,5102
breweries/adirondack-toboggan-company-microbrewery,breweries,Adirondack Toboggan Company Microbrewery,Gouverneur,NY,13642,Micro,2019-08-29,Not recorded,5057
breweries/admerk-corp-inc,breweries,AdMerk Corp. Inc.,Washington,DC,20001,Contract,2019-08-29,Not recorded,1696
breweries/admiral-maltings,breweries,Admiral Maltings,San Francisco,CA,94105,Proprietor,2019-08-29,Not recorded,899
breweries/adobe-creek-brewing-company,breweries,Adobe Creek Brewing Company,Novato,CA,94949,Taproom,2019-08-29,Not recorded,652
breweries/adroit-theory-brewing-company,breweries,Adroit Theory Brewing Company,Purcellville,VA,20132,Micro,2019-08-29,Not recorded,7105
breweries/adventurous-brewing,breweries,Adventurous Brewing,Bettendorf,IA,52722,Micro,2019-08-29,Not recorded,2170
breweries/aero-plains-brewing,breweries,Aero Plains Brewing,Wichita,KS,67203,Micro,2019-08-29,Not recorded,2820
breweries/aeronaut-brewing-company,breweries,Aeronaut Brewing Company,Somerville,MA,02143,Taproom,2019-08-29,Not recorded,3065
breweries/aftershock-brewing-company,breweries,Aftershock Brewing Company,Temecula,CA,92590,Taproom,2019-08-29,Not recorded,1069
breweries/afterthought-brewing-company,breweries,Afterthought Brewing Company,Lombard,IL,60148,Micro,2019-08-29,Not recorded,2488
breweries/against-the-grain-brewery,breweries,Against the Grain Brewery,Louisville,KY,40202,Micro,2019-08-29,Not recorded,2864
breweries/against-the-grain-production-facility,breweries,Against the Grain Production Facility,Louisville,KY,40203,Micro,2019-08-29,Not recorded,2865
breweries/agape-beer-company-llc,breweries,Agape Beer Company LLC,Gloucester,MA,01930,Micro,2019-08-29,Not recorded,2996
breweries/ahnapee-brewery,breweries,Ahnapee Brewery,Algoma,WI,54201,Micro,2019-08-29,Not recorded,7677
breweries/aiken-brewing-co,breweries,Aiken Brewing Co,Aiken,SC,29801,Brewpub,2019-08-29,Not recorded,6365
breweries/airways-brewing-co,breweries,Airways Brewing Co,Kent,WA,98031,Taproom,2019-08-29,Not recorded,7381
breweries/aisle-5,breweries,Aisle 5,Oakland,CA,94610,Brewpub,2019-08-29,Not recorded,657
breweries/aistear-brewing,breweries,Aistear Brewing,Bowling Green,OH,43402,Planning,2019-08-29,Not recorded,5334
breweries/akademia-brewing-company,breweries,Akademia Brewing Company,Athens,GA,30606,Brewpub,2019-08-29,Not recorded,2052
breweries/akronym-brewing-llc,breweries,Akronym Brewing LLC,Akron,OH,44308,Micro,2019-08-29,Not recorded,5304
breweries/akwesasne-mohawk-casino-resort,breweries,Akwesasne Mohawk Casino Resort,Akwesasne,NY,13655,Micro,2019-08-29,Not recorded,4890
breweries/al-ringling-brewing-co,breweries,Al. Ringling Brewing Co.,Baraboo,WI,53913,Planning,2019-08-29,Not recorded,7691
breweries/alameda-island-brewing-company,breweries,Alameda Island Brewing Company,Alameda,CA,94501,Micro,2019-08-29,Not recorded,255
breweries/alamo-beer-co,breweries,Alamo Beer Co,San Antonio,TX,78202,Micro,2019-08-29,Not recorded,6850
breweries/alan-carmash-llc,breweries,"Alan Carmash, LLC",Troy,MI,48098,Planning,2019-08-29,Not recorded,3687
breweries/alarmist-brewing,breweries,Alarmist Brewing,Chicago,IL,60646,Taproom,2019-08-29,Not recorded,2360
breweries/alaro-craft-brewery,breweries,Alaro Craft Brewery,Sacramento,CA,95811,Brewpub,2019-08-29,Not recorded,783
breweries/albia-brewing-co,breweries,Albia Brewing Co,Albia,IA,52531,Brewpub,2019-08-29,Not recorded,2162
breweries/albion-malleable-brewing-company,breweries,Albion Malleable Brewing Company,Albion,MI,49224,Taproom,2019-08-29,Not recorded,3353
breweries/albright-grove-brewing-company,breweries,Albright Grove Brewing Company,Knoxville,TN,37919,Taproom,2019-08-29,Not recorded,6528
breweries/alcatraz-brewing,breweries,Alcatraz Brewing,Palm Coast,FL,32137,Micro,2019-08-29,Not recorded,1926
breweries/alcazar-brewery-llc,breweries,"Alcazar Brewery, LLC.",Rio Grande City,TX,78582,Planning,2019-08-29,Not recorded,6836
breweries/alchemist-cannery,breweries,Alchemist Cannery,Waterbury,VT,05676,Regional,2019-08-29,Not recorded,7264
breweries/aldus-brewing-company,breweries,Aldus Brewing Company,Hanover,PA,17331,Taproom,2019-08-29,Not recorded,6084
breweries/ale-asylum,breweries,Ale Asylum,Madison,WI,53704,Regional,2019-08-29,Not recorded,7765
breweries/ale-industries,breweries,Ale Industries,Oakland,CA,94601,Micro,2019-08-29,Not recorded,658
breweries/ale-republic,breweries,Ale Republic,Cedar Crest,NM,87008,Brewpub,2019-08-29,Not recorded,4793
breweries/ale-spike,breweries,Ale Spike,Apo,AE,98282,Micro,2019-08-29,Not recorded,2
breweries/alebird-taphouse-and-brewery,breweries,Alebird Taphouse and Brewery,Byron Center,MI,49315,Brewpub,2019-08-29,Not recorded,3395
breweries/alecraft-brewery,breweries,AleCraft Brewery,Bel Air,MD,21014,Taproom,2019-08-29,Not recorded,3131
breweries/aleman-brewing,breweries,Aleman Brewing,Chicago,IL,60641,Micro,2019-08-29,Not recorded,2361
breweries/alematic-artisan-ales,breweries,Alematic Artisan Ales,Huber Heights,OH,45424,Taproom,2019-08-29,Not recorded,5495
breweries/alesatian-brewing-co,breweries,Alesatian Brewing Co.,Winchester,VA,22601,Brewpub,2019-08-29,Not recorded,7198
breweries/alesmith-brewing-co,breweries,AleSmith Brewing Co,San Diego,CA,92126,Regional,2019-08-29,Not recorded,814
breweries/alesong-brewing-and-blending,breweries,Alesong Brewing and Blending,Eugene,OR,97402,Micro,2019-08-29,Not recorded,5719
breweries/alesong-brewing-and-tasting-room,breweries,Alesong Brewing and Tasting Room,Eugene,OR,97402,Micro,2019-08-29,Not recorded,5720
breweries/alewerks-brewing-company,breweries,Alewerks Brewing Company,Williamsburg,VA,23188,Micro,2019-08-29,Not recorded,7191
breweries/alewife-brewing-company,breweries,Alewife Brewing Company,Long Island City,NY,11101,Brewpub,2019-08-29,Not recorded,5116
breweries/alexandria-brewing-company,breweries,Alexandria Brewing Company,Alexandria,KY,41001,Brewpub,2019-08-29,Not recorded,2832
breweries/alibi-ale-works,breweries,Alibi Ale Works,Incline Village,NV,89451,Taproom,2019-08-29,Not recorded,4850
breweries/alibi-ale-works-truckee,breweries,Alibi Ale Works - Truckee,Truckee,CA,96161,Brewpub,2019-08-29,Not recorded,1093
breweries/alien-brewpub,breweries,Alien Brewpub,Albuquerque,NM,87110,Brewpub,2019-08-29,Not recorded,4747
breweries/align-brewing-co,breweries,Align Brewing Co,San Diego,CA,92126,Taproom,2019-08-29,Not recorded,815
breweries/all-american-brew-works,breweries,All-American Brew Works,Anaheim,CA,92807,Taproom,2019-08-29,Not recorded,262
breweries/all-rise-brewing-co,breweries,All Rise Brewing Co,Chicago,IL,60607,Brewpub,2019-08-29,Not recorded,2362
breweries/all-saints-brewing-co,breweries,All Saints Brewing Co,Greensburg,PA,15601,Taproom,2019-08-29,Not recorded,6080
breweries/all-sevens-brewing,breweries,All Sevens Brewing,Asheville,NC,28806,Brewpub,2019-08-29,Not recorded,4144
